candidate_accession	representative_accession
XP_063037171.1	XP_063037171.1
XP_063037172.1	XP_063037172.1
XP_063037288.1	XP_063037288.1
XP_063037291.1	XP_063037291.1
XP_063042149.1	XP_063042149.1
XP_063042150.1	XP_063042150.1
XP_063044620.1	XP_063044620.1
XP_063046476.1	XP_063046476.1
XP_063051197.1	XP_063051197.1
XP_063057481.1	XP_063057481.1
XP_063057482.1	XP_063057482.1
XP_063057483.1	XP_063057483.1
XP_063062263.1	XP_063062263.1
XP_063091238.1	XP_063091238.1
XP_063091240.1	XP_063091240.1
XP_063091241.1	XP_063091241.1
XP_063091242.1	XP_063091242.1
XP_063091243.1	XP_063091243.1
XP_063091245.1	XP_063091245.1
XP_063091246.1	XP_063091246.1
XP_063099916.1	XP_063099916.1
XP_063103215.1	XP_063103215.1
XP_063109838.1	XP_063109838.1
XP_063114018.1	XP_063114018.1
XP_063114493.1	XP_063114493.1
XP_063127683.1	XP_063127683.1
XP_063127685.1	XP_063127685.1
XP_063127687.1	XP_063127687.1
XP_063132778.1	XP_063132778.1
XP_063132781.1	XP_063132781.1
XP_063134086.1	XP_063134086.1
XP_063134087.1	XP_063134087.1
XP_063143789.1	XP_063143789.1
XP_063143792.1	XP_063143792.1
XP_063144175.1	XP_063144175.1
XP_063151274.1	XP_063151274.1
XP_063151634.1	XP_063151634.1
XP_063151636.1	XP_063151636.1
XP_063151638.1	XP_063151638.1
XP_063152652.1	XP_063152652.1
XP_063154019.1	XP_063154019.1
XP_063154021.1	XP_063154021.1
XP_063154785.1	XP_063154785.1
XP_063154786.1	XP_063154786.1
XP_063159542.1	XP_063159542.1
XP_063169320.1	XP_063169320.1
XP_063172753.1	XP_063172753.1
XP_063175244.1	XP_063175244.1
XP_063175245.1	XP_063175245.1
XP_063175663.1	XP_063175663.1
XP_063175664.1	XP_063175664.1
XP_063175665.1	XP_063175665.1
XP_063175667.1	XP_063175667.1
XP_063175680.1	XP_063175680.1
XP_063175682.1	XP_063175682.1
XP_063180636.1	XP_063180636.1
XP_063182270.1	XP_063182270.1
XP_063182271.1	XP_063182271.1
XP_063182272.1	XP_063182272.1
XP_063182273.1	XP_063182273.1
XP_063182274.1	XP_063182274.1
XP_063182275.1	XP_063182275.1
XP_063182276.1	XP_063182276.1
XP_063198801.1	XP_063198801.1
XP_063198806.1	XP_063198806.1
XP_063217319.1	XP_063217319.1
XP_063217527.1	XP_063217527.1
XP_063226362.1	XP_063226362.1
XP_063226364.1	XP_063226364.1
XP_063226365.1	XP_063226365.1
XP_063228739.1	XP_063228739.1
XP_063235132.1	XP_063235132.1
XP_063237132.1	XP_063237132.1
XP_063237133.1	XP_063237133.1
XP_063255698.1	XP_063255698.1
XP_063255708.1	XP_063255708.1
XP_063255719.1	XP_063255719.1
XP_063263147.1	XP_063263147.1
XP_063263149.1	XP_063263149.1
XP_063267063.1	XP_063267063.1
XP_063270536.1	XP_063270536.1
XP_063278409.1	XP_063278409.1
XP_063278410.1	XP_063278410.1
XP_063278428.1	XP_063278428.1
XP_063278430.1	XP_063278430.1
XP_063283897.1	XP_063283897.1
XP_063293708.1	XP_063293708.1
XP_063293709.1	XP_063293709.1
XP_063294567.1	XP_063294567.1
XP_063294568.1	XP_063294568.1
XP_063306871.1	XP_063306871.1
XP_063307991.1	XP_063307991.1
XP_063307992.1	XP_063307992.1
XP_063307993.1	XP_063307993.1
XP_063309660.1	XP_063309660.1
XP_063309661.1	XP_063309661.1
XP_063311048.1	XP_063311048.1
XP_063311049.1	XP_063311049.1
XP_063335224.1	XP_063335224.1
XP_063338157.1	XP_063338157.1
XP_063340397.1	XP_063340397.1
XP_063342839.1	XP_063342839.1
XP_063346048.1	XP_063346048.1
XP_063346050.1	XP_063346050.1
XP_063346052.1	XP_063346052.1
XP_063346053.1	XP_063346053.1
XP_063346521.1	XP_063346521.1
XP_063356866.1	XP_063356866.1
XP_063356868.1	XP_063356868.1
XP_063364999.1	XP_063364999.1
XP_063365209.1	XP_063365209.1
XP_063365210.1	XP_063365210.1
XP_063368068.1	XP_063368068.1
XP_063368069.1	XP_063368069.1
XP_063369894.1	XP_063369894.1
XP_063383299.1	XP_063383299.1
XP_063384994.1	XP_063384994.1
XP_063385055.1	XP_063385055.1
XP_063385454.1	XP_063385454.1
XP_063385474.1	XP_063385474.1
XP_063388029.1	XP_063388029.1
XP_063424975.1	XP_063424975.1
XP_063424976.1	XP_063424976.1
XP_063424977.1	XP_063424977.1
XP_063432004.1	XP_063432004.1
XP_063441473.1	XP_063441473.1
XP_063445128.1	XP_063445128.1
XP_063450030.1	XP_063450030.1
XP_063460266.1	XP_063460266.1
XP_063460267.1	XP_063460267.1
XP_063460268.1	XP_063460268.1
XP_063463612.1	XP_063463612.1
XP_063463614.1	XP_063463614.1
XP_063463619.1	XP_063463619.1
XP_063463623.1	XP_063463623.1
XP_063463625.1	XP_063463625.1
XP_063463627.1	XP_063463627.1
XP_063463628.1	XP_063463628.1
XP_063463631.1	XP_063463631.1
XP_063463633.1	XP_063463633.1
XP_063463636.1	XP_063463636.1
XP_063463639.1	XP_063463639.1
XP_063463640.1	XP_063463640.1
XP_063463642.1	XP_063463642.1
XP_063463643.1	XP_063463643.1
XP_063463648.1	XP_063463648.1
XP_063463650.1	XP_063463650.1
XP_063463653.1	XP_063463653.1
XP_063464588.1	XP_063464588.1
XP_063468245.1	XP_063468245.1
XP_063468247.1	XP_063468247.1
XP_063468248.1	XP_063468248.1
XP_063468249.1	XP_063468249.1
XP_063468250.1	XP_063468250.1
XP_063468252.1	XP_063468252.1
XP_063468253.1	XP_063468253.1
XP_063468254.1	XP_063468254.1
XP_063468255.1	XP_063468255.1
XP_063468256.1	XP_063468256.1
XP_063468257.1	XP_063468257.1
XP_063468258.1	XP_063468258.1
XP_063468259.1	XP_063468259.1
XP_063468260.1	XP_063468260.1
XP_063469892.1	XP_063469892.1
XP_063469895.1	XP_063469895.1
XP_063469896.1	XP_063469896.1
XP_063469897.1	XP_063469897.1
XP_063469899.1	XP_063469899.1
XP_063469900.1	XP_063469900.1
XP_063469903.1	XP_063469903.1
XP_063492346.1	XP_063492346.1
XP_063493383.1	XP_063493383.1
XP_063493384.1	XP_063493384.1
XP_063505720.1	XP_063505720.1
XP_063505721.1	XP_063505721.1
XP_063505722.1	XP_063505722.1
XP_063505723.1	XP_063505723.1
XP_063505724.1	XP_063505724.1
XP_063505725.1	XP_063505725.1
XP_063505726.1	XP_063505726.1
XP_063511096.1	XP_063511096.1
XP_063511097.1	XP_063511097.1
XP_063511992.1	XP_063511992.1
XP_063511997.1	XP_063511997.1
XP_063512006.1	XP_063512006.1
XP_063512007.1	XP_063512007.1
XP_063512008.1	XP_063512008.1
XP_063512011.1	XP_063512011.1
XP_063512014.1	XP_063512014.1
XP_063512024.1	XP_063512024.1
XP_063512034.1	XP_063512034.1
XP_063512036.1	XP_063512036.1
XP_063512039.1	XP_063512039.1
XP_063512046.1	XP_063512046.1
XP_063512048.1	XP_063512048.1
XP_063512050.1	XP_063512050.1
XP_063512055.1	XP_063512055.1
XP_063512067.1	XP_063512067.1
XP_063512072.1	XP_063512072.1
XP_063512077.1	XP_063512077.1
XP_063512087.1	XP_063512087.1
XP_063512093.1	XP_063512093.1
XP_063512096.1	XP_063512096.1
XP_063512097.1	XP_063512097.1
XP_063521507.1	XP_063521507.1
XP_063521509.1	XP_063521509.1
XP_063521510.1	XP_063521510.1
XP_063521511.1	XP_063521511.1
XP_063526930.1	XP_063526930.1
XP_063526931.1	XP_063526931.1
XP_063526932.1	XP_063526932.1
XP_063538357.1	XP_063538357.1
XP_063538364.1	XP_063538364.1
XP_063538365.1	XP_063538365.1
XP_063538366.1	XP_063538366.1
XP_063538512.1	XP_063538512.1
XP_063539635.1	XP_063539635.1
XP_063542142.1	XP_063542142.1
XP_063552582.1	XP_063552582.1
XP_063554784.1	XP_063554784.1
XP_063554795.1	XP_063554795.1
XP_063570342.1	XP_063570342.1
XP_063574922.1	XP_063574922.1
XP_063574925.1	XP_063574925.1
XP_063574928.1	XP_063574928.1
XP_063574929.1	XP_063574929.1
XP_063574930.1	XP_063574930.1
XP_063574931.1	XP_063574931.1
XP_063574932.1	XP_063574932.1
XP_063580517.1	XP_063580517.1
XP_063588036.1	XP_063588036.1
XP_063588037.1	XP_063588037.1
XP_063588038.1	XP_063588038.1
XP_063591051.1	XP_063591051.1
XP_063591297.1	XP_063591297.1
XP_063595494.1	XP_063595494.1
XP_063595495.1	XP_063595495.1
XP_063609255.1	XP_063609255.1
XP_063624900.1	XP_063624900.1
XP_063624932.1	XP_063624932.1
XP_063624954.1	XP_063624954.1
XP_063627247.1	XP_063627247.1
XP_063627248.1	XP_063627248.1
XP_063629470.1	XP_063629470.1
XP_063638572.1	XP_063638572.1
XP_063643797.1	XP_063643797.1
XP_063643798.1	XP_063643798.1
XP_063643801.1	XP_063643801.1
XP_063667145.1	XP_063667145.1
XP_063667146.1	XP_063667146.1
XP_063667148.1	XP_063667148.1
XP_063673548.1	XP_063673548.1
XP_063673590.1	XP_063673590.1
XP_063673596.1	XP_063673596.1
XP_063673597.1	XP_063673597.1
XP_063673598.1	XP_063673598.1
XP_063673599.1	XP_063673599.1
XP_063673600.1	XP_063673600.1
XP_063673602.1	XP_063673602.1
XP_063673603.1	XP_063673603.1
XP_063673604.1	XP_063673604.1
XP_063673607.1	XP_063673607.1
XP_063673613.1	XP_063673613.1
XP_063673614.1	XP_063673614.1
XP_063673638.1	XP_063673638.1
XP_063675007.1	XP_063675007.1
XP_063676426.1	XP_063676426.1
XP_063677412.1	XP_063677412.1
XP_063681540.1	XP_063681540.1
XP_063681541.1	XP_063681541.1
XP_063681748.1	XP_063681748.1
XP_063681749.1	XP_063681749.1
XP_063689072.1	XP_063689072.1
XP_063696058.1	XP_063696058.1
XP_063699349.1	XP_063699349.1
XP_063701482.1	XP_063701482.1
XP_063708236.1	XP_063708236.1
XP_063709584.1	XP_063709584.1
XP_063710925.1	XP_063710925.1
XP_063711357.1	XP_063711357.1
XP_063721556.1	XP_063721556.1
XP_063721557.1	XP_063721557.1
XP_063721558.1	XP_063721558.1
XP_063725873.1	XP_063725873.1
XP_063728768.1	XP_063728768.1
XP_063736064.1	XP_063736064.1
XP_063738412.1	XP_063738412.1
XP_063747848.1	XP_063747848.1
XP_063748586.1	XP_063748586.1
XP_063753561.1	XP_063753561.1
XP_063753689.1	XP_063753689.1
XP_063756177.1	XP_063756177.1
XP_063768713.1	XP_063768713.1
XP_063768714.1	XP_063768714.1
XP_063769834.1	XP_063769834.1
XP_063769835.1	XP_063769835.1
XP_063778105.1	XP_063778105.1
XP_063778840.1	XP_063778840.1
XP_063794958.1	XP_063794958.1
XP_063801087.1	XP_063801087.1
XP_063801088.1	XP_063801088.1
XP_063801422.1	XP_063801422.1
XP_063801423.1	XP_063801423.1
XP_063801424.1	XP_063801424.1
XP_063819567.1	XP_063819567.1
XP_063819571.1	XP_063819571.1
XP_063828540.1	XP_063828540.1
XP_063828553.1	XP_063828553.1
XP_063828554.1	XP_063828554.1
XP_063828951.1	XP_063828951.1
XP_063830168.1	XP_063830168.1
XP_063830169.1	XP_063830169.1
XP_063830177.1	XP_063830177.1
XP_063833938.1	XP_063833938.1
XP_063851031.1	XP_063851031.1
XP_063861505.1	XP_063861505.1
XP_063863183.1	XP_063863183.1
XP_063863551.1	XP_063863551.1
XP_063863553.1	XP_063863553.1
XP_063863554.1	XP_063863554.1
XP_063863556.1	XP_063863556.1
XP_063863557.1	XP_063863557.1
XP_063863560.1	XP_063863560.1
XP_063873771.1	XP_063873771.1
XP_063906414.1	XP_063906414.1
XP_063908059.1	XP_063908059.1
XP_063908492.1	XP_063908492.1
XP_063912331.1	XP_063912331.1
XP_063912334.1	XP_063912334.1
XP_063927527.1	XP_063927527.1
XP_063927738.1	XP_063927738.1
XP_063927740.1	XP_063927740.1
XP_063927741.1	XP_063927741.1
XP_063927742.1	XP_063927742.1
XP_063927743.1	XP_063927743.1
XP_063927764.1	XP_063927764.1
XP_063927819.1	XP_063927819.1
XP_063927820.1	XP_063927820.1
XP_063933129.1	XP_063933129.1
XP_063934000.1	XP_063934000.1
XP_063934082.1	XP_063934082.1
XP_063943701.1	XP_063943701.1
XP_063952126.1	XP_063952126.1
XP_063962269.1	XP_063962269.1
XP_063962271.1	XP_063962271.1
XP_063976162.1	XP_063976162.1
XP_063977983.1	XP_063977983.1
XP_063979185.1	XP_063979185.1
XP_063979187.1	XP_063979187.1
XP_063984238.1	XP_063984238.1
XP_063985370.1	XP_063985370.1
XP_063987628.1	XP_063987628.1
XP_063987629.1	XP_063987629.1
XP_064003454.1	XP_064003454.1
XP_064003457.1	XP_064003457.1
XP_064003458.1	XP_064003458.1
XP_064003459.1	XP_064003459.1
XP_064016420.1	XP_064016420.1
XP_064017295.1	XP_064017295.1
XP_064017296.1	XP_064017296.1
XP_064017297.1	XP_064017297.1
XP_064017298.1	XP_064017298.1
XP_064018870.1	XP_064018870.1
XP_064032344.1	XP_064032344.1
XP_064032346.1	XP_064032346.1
XP_064032347.1	XP_064032347.1
XP_064032348.1	XP_064032348.1
XP_064032934.1	XP_064032934.1
XP_064032936.1	XP_064032936.1
XP_064033101.1	XP_064033101.1
XP_064033102.1	XP_064033102.1
XP_064033103.1	XP_064033103.1
XP_064034022.1	XP_064034022.1
XP_064034023.1	XP_064034023.1
XP_064046183.1	XP_064046183.1
XP_064046184.1	XP_064046184.1
XP_064046185.1	XP_064046185.1
XP_064046186.1	XP_064046186.1
XP_064046187.1	XP_064046187.1
XP_064059876.1	XP_064059876.1
XP_064059877.1	XP_064059877.1
XP_064059878.1	XP_064059878.1
XP_064061074.1	XP_064061074.1
XP_064061075.1	XP_064061075.1
XP_064061076.1	XP_064061076.1
XP_064061767.1	XP_064061767.1
XP_064061768.1	XP_064061768.1
XP_064073240.1	XP_064073240.1
XP_064075087.1	XP_064075087.1
XP_064084448.1	XP_064084448.1
XP_064084449.1	XP_064084449.1
XP_064084450.1	XP_064084450.1
XP_064094373.1	XP_064094373.1
XP_064094390.1	XP_064094390.1
XP_064109006.1	XP_064109006.1
XP_064109588.1	XP_064109588.1
XP_064112875.1	XP_064112875.1
XP_064126526.1	XP_064126526.1
XP_064126530.1	XP_064126530.1
XP_064129625.1	XP_064129625.1
XP_064130220.1	XP_064130220.1
XP_064130221.1	XP_064130221.1
XP_064138034.1	XP_064138034.1
XP_064138039.1	XP_064138039.1
XP_064138040.1	XP_064138040.1
XP_064138041.1	XP_064138041.1
XP_064138042.1	XP_064138042.1
XP_064138043.1	XP_064138043.1
XP_064138044.1	XP_064138044.1
XP_064141040.1	XP_064141040.1
XP_064141041.1	XP_064141041.1
XP_064147226.1	XP_064147226.1
XP_064147228.1	XP_064147228.1
XP_064147229.1	XP_064147229.1
XP_064153167.1	XP_064153167.1
XP_064153169.1	XP_064153169.1
XP_064163700.1	XP_064163700.1
XP_064168239.1	XP_064168239.1
XP_064168240.1	XP_064168240.1
XP_064168241.1	XP_064168241.1
XP_064177508.1	XP_064177508.1
XP_064188470.1	XP_064188470.1
XP_064191861.1	XP_064191861.1
XP_064194513.1	XP_064194513.1
XP_064203858.1	XP_064203858.1
XP_064211663.1	XP_064211663.1
XP_064215192.1	XP_064215192.1
XP_064217352.1	XP_064217352.1
XP_064217680.1	XP_064217680.1
XP_064224597.1	XP_064224597.1
XP_064224602.1	XP_064224602.1
XP_064224603.1	XP_064224603.1
XP_064224604.1	XP_064224604.1
XP_064228424.1	XP_064228424.1
XP_064228426.1	XP_064228426.1
XP_064228427.1	XP_064228427.1
XP_064228428.1	XP_064228428.1
XP_064228429.1	XP_064228429.1
XP_064228431.1	XP_064228431.1
XP_064231922.1	XP_064231922.1
XP_064232147.1	XP_064232147.1
XP_064232149.1	XP_064232149.1
XP_064232150.1	XP_064232150.1
XP_064232151.1	XP_064232151.1
XP_064232152.1	XP_064232152.1
XP_064232153.1	XP_064232153.1
XP_064242406.1	XP_064242406.1
XP_064259826.1	XP_064259826.1
XP_064261573.1	XP_064261573.1
XP_064261581.1	XP_064261581.1
XP_064261584.1	XP_064261584.1
XP_064261585.1	XP_064261585.1
XP_064284948.1	XP_064284948.1
XP_064284952.1	XP_064284952.1
XP_064284953.1	XP_064284953.1
XP_064285088.1	XP_064285088.1
XP_064285098.1	XP_064285098.1
XP_064285103.1	XP_064285103.1
XP_064285109.1	XP_064285109.1
XP_064294729.1	XP_064294729.1
XP_064294732.1	XP_064294732.1
XP_064294733.1	XP_064294733.1
XP_064294968.1	XP_064294968.1
XP_064294970.1	XP_064294970.1
XP_064294972.1	XP_064294972.1
XP_064296006.1	XP_064296006.1
XP_064296007.1	XP_064296007.1
XP_064299412.1	XP_064299412.1
XP_064299413.1	XP_064299413.1
XP_064299414.1	XP_064299414.1
XP_064299415.1	XP_064299415.1
XP_064299417.1	XP_064299417.1
XP_064300959.1	XP_064300959.1
XP_064311152.1	XP_064311152.1
XP_064311154.1	XP_064311154.1
XP_064315494.1	XP_064315494.1
XP_064335462.1	XP_064335462.1
XP_064346182.1	XP_064346182.1
XP_064346183.1	XP_064346183.1
XP_064356214.1	XP_064356214.1
XP_064356215.1	XP_064356215.1
XP_064356794.1	XP_064356794.1
XP_064357946.1	XP_064357946.1
XP_064357947.1	XP_064357947.1
XP_064359266.1	XP_064359266.1
XP_064361930.1	XP_064361930.1
XP_064362890.1	XP_064362890.1
XP_064362891.1	XP_064362891.1
XP_064362892.1	XP_064362892.1
XP_064362893.1	XP_064362893.1
XP_064362894.1	XP_064362894.1
XP_064362895.1	XP_064362895.1
XP_064375638.1	XP_064375638.1
XP_064375639.1	XP_064375639.1
XP_064375641.1	XP_064375641.1
XP_064385379.1	XP_064385379.1
XP_064386491.1	XP_064386491.1
XP_064391704.1	XP_064391704.1
XP_064410755.1	XP_064410755.1
XP_064410756.1	XP_064410756.1
XP_064414145.1	XP_064414145.1
XP_064432376.1	XP_064432376.1
XP_064435327.1	XP_064435327.1
XP_064435328.1	XP_064435328.1
XP_064437732.1	XP_064437732.1
XP_064437733.1	XP_064437733.1
XP_064452359.1	XP_064452359.1
XP_064452950.1	XP_064452950.1
XP_064458449.1	XP_064458449.1
XP_064458450.1	XP_064458450.1
XP_064459794.1	XP_064459794.1
XP_064466847.1	XP_064466847.1
XP_064476721.1	XP_064476721.1
XP_064476722.1	XP_064476722.1
XP_064476723.1	XP_064476723.1
XP_064477867.1	XP_064477867.1
XP_064477869.1	XP_064477869.1
XP_064492542.1	XP_064492542.1
XP_064498613.1	XP_064498613.1
XP_064498614.1	XP_064498614.1
XP_064498615.1	XP_064498615.1
XP_064498616.1	XP_064498616.1
XP_064499150.1	XP_064499150.1
XP_064499153.1	XP_064499153.1
XP_064516933.1	XP_064516933.1
XP_064516943.1	XP_064516943.1
XP_064516953.1	XP_064516953.1
XP_064516962.1	XP_064516962.1
XP_064516970.1	XP_064516970.1
XP_064521290.1	XP_064521290.1
XP_064521292.1	XP_064521292.1
XP_064537085.1	XP_064537085.1
XP_064537090.1	XP_064537090.1
XP_064546935.1	XP_064546935.1
XP_064549543.1	XP_064549543.1
XP_064551118.1	XP_064551118.1
XP_064552694.1	XP_064552694.1
XP_064552695.1	XP_064552695.1
XP_064552696.1	XP_064552696.1
XP_064552697.1	XP_064552697.1
XP_064552698.1	XP_064552698.1
XP_064552699.1	XP_064552699.1
XP_064555108.1	XP_064555108.1
XP_064556036.1	XP_064556036.1
XP_064560105.1	XP_064560105.1
XP_064561606.1	XP_064561606.1
XP_064561608.1	XP_064561608.1
XP_064561609.1	XP_064561609.1
XP_064561610.1	XP_064561610.1
XP_064575361.1	XP_064575361.1
XP_064575363.1	XP_064575363.1
XP_064575364.1	XP_064575364.1
XP_064579117.1	XP_064579117.1
XP_064591809.1	XP_064591809.1
XP_064591810.1	XP_064591810.1
XP_064591811.1	XP_064591811.1
XP_064591813.1	XP_064591813.1
XP_064592350.1	XP_064592350.1
XP_064593024.1	XP_064593024.1
XP_064594868.1	XP_064594868.1
XP_064597905.1	XP_064597905.1
XP_064604613.1	XP_064604613.1
XP_064604614.1	XP_064604614.1
XP_064608430.1	XP_064608430.1
XP_064610438.1	XP_064610438.1
XP_064610439.1	XP_064610439.1
XP_064619134.1	XP_064619134.1
XP_064619135.1	XP_064619135.1
XP_064626815.1	XP_064626815.1
XP_064626816.1	XP_064626816.1
XP_064626817.1	XP_064626817.1
XP_064641316.1	XP_064641316.1
XP_064644026.1	XP_064644026.1
XP_064644515.1	XP_064644515.1
XP_064644516.1	XP_064644516.1
XP_064658741.1	XP_064658741.1
XP_064663257.1	XP_064663257.1
XP_064669782.1	XP_064669782.1
XP_064675362.1	XP_064675362.1
XP_064677394.1	XP_064677394.1
XP_064680587.1	XP_064680587.1
XP_064681655.1	XP_064681655.1
XP_064682680.1	XP_064682680.1
XP_064684880.1	XP_064684880.1
XP_064689793.1	XP_064689793.1
XP_064689980.1	XP_064689980.1
XP_064696721.1	XP_064696721.1
XP_064702812.1	XP_064702812.1
XP_064706722.1	XP_064706722.1
XP_064710601.1	XP_064710601.1
XP_064713737.1	XP_064713737.1
XP_064714244.1	XP_064714244.1
XP_064718345.1	XP_064718345.1
XP_064722839.1	XP_064722839.1
XP_064723019.1	XP_064723019.1
XP_064727868.1	XP_064727868.1
XP_064729816.1	XP_064729816.1
XP_064732130.1	XP_064732130.1
XP_064736836.1	XP_064736836.1
XP_064744693.1	XP_064744693.1
XP_064745781.1	XP_064745781.1
XP_064748975.1	XP_064748975.1
XP_064753656.1	XP_064753656.1
XP_064757617.1	XP_064757617.1
XP_064758743.1	XP_064758743.1
XP_064762669.1	XP_064762669.1
XP_064766001.1	XP_064766001.1
XP_064770724.1	XP_064770724.1
XP_064772178.1	XP_064772178.1
XP_064780010.1	XP_064780010.1
XP_064785455.1	XP_064785455.1
XP_064791931.1	XP_064791931.1
XP_064791936.1	XP_064791936.1
XP_064791937.1	XP_064791937.1
XP_064791939.1	XP_064791939.1
XP_064792620.1	XP_064792620.1
XP_064805148.1	XP_064805148.1
XP_064807420.1	XP_064807420.1
XP_064830794.1	XP_064830794.1
XP_064836084.1	XP_064836084.1
XP_064836086.1	XP_064836086.1
XP_064838251.1	XP_064838251.1
XP_064839400.1	XP_064839400.1
XP_064839401.1	XP_064839401.1
XP_064839402.1	XP_064839402.1
XP_064845287.1	XP_064845287.1
XP_064845288.1	XP_064845288.1
XP_064846622.1	XP_064846622.1
XP_064846631.1	XP_064846631.1
XP_064854750.1	XP_064854750.1
XP_064859289.1	XP_064859289.1
XP_064865929.1	XP_064865929.1
XP_064873902.1	XP_064873902.1
XP_064876444.1	XP_064876444.1
XP_064882997.1	XP_064882997.1
XP_064884695.1	XP_064884695.1
XP_064901910.1	XP_064901910.1
XP_064906728.1	XP_064906728.1
XP_064908790.1	XP_064908790.1
XP_064908792.1	XP_064908792.1
XP_064927102.1	XP_064927102.1
XP_064927105.1	XP_064927105.1
XP_064927106.1	XP_064927106.1
XP_064927107.1	XP_064927107.1
XP_064938216.1	XP_064938216.1
XP_064938217.1	XP_064938217.1
XP_064941724.1	XP_064941724.1
XP_064950890.1	XP_064950890.1
XP_064970941.1	XP_064970941.1
XP_064970942.1	XP_064970942.1
XP_064973812.1	XP_064973812.1
XP_064973813.1	XP_064973813.1
XP_064973818.1	XP_064973818.1
XP_065012212.1	XP_065012212.1
XP_065014373.1	XP_065014373.1
XP_065016767.1	XP_065016767.1
XP_065016768.1	XP_065016768.1
XP_065016772.1	XP_065016772.1
XP_065016773.1	XP_065016773.1
XP_065016776.1	XP_065016776.1
XP_065025367.1	XP_065025367.1
XP_065029582.1	XP_065029582.1
XP_065045485.1	XP_065045485.1
XP_065045486.1	XP_065045486.1
XP_065048497.1	XP_065048497.1
XP_065048499.1	XP_065048499.1
XP_065048502.1	XP_065048502.1
XP_065049757.1	XP_065049757.1
XP_065052876.1	XP_065052876.1
XP_065052877.1	XP_065052877.1
XP_065057578.1	XP_065057578.1
XP_065059780.1	XP_065059780.1
XP_065064418.1	XP_065064418.1
XP_065070206.1	XP_065070206.1
XP_065079756.1	XP_065079756.1
XP_065082292.1	XP_065082292.1
XP_065084205.1	XP_065084205.1
XP_065087243.1	XP_065087243.1
XP_065095067.1	XP_065095067.1
XP_065098409.1	XP_065098409.1
XP_065102331.2	XP_065102331.2
XP_065109700.1	XP_065109700.1
XP_065125181.1	XP_065125181.1
XP_065125182.1	XP_065125182.1
XP_065145614.1	XP_065145614.1
XP_065149899.1	XP_065149899.1
XP_065149906.1	XP_065149906.1
XP_065158898.1	XP_065158898.1
XP_065167221.1	XP_065167221.1
XP_065168487.1	XP_065168487.1
XP_065169879.1	XP_065169879.1
XP_065173049.1	XP_065173049.1
XP_065174669.1	XP_065174669.1
XP_065174670.1	XP_065174670.1
XP_065175943.1	XP_065175943.1
XP_065179704.1	XP_065179704.1
XP_065184643.1	XP_065184643.1
XP_065185210.1	XP_065185210.1
XP_065188468.1	XP_065188468.1
XP_065190394.1	XP_065190394.1
XP_065201731.1	XP_065201731.1
XP_065217117.1	XP_065217117.1
XP_065224572.1	XP_065224572.1
XP_065254000.1	XP_065254000.1
XP_065254001.1	XP_065254001.1
XP_065254002.1	XP_065254002.1
XP_065255131.1	XP_065255131.1
XP_065262038.1	XP_065262038.1
XP_065262169.1	XP_065262169.1
XP_065264260.1	XP_065264260.1
XP_065264974.1	XP_065264974.1
XP_065272404.1	XP_065272404.1
XP_065282720.1	XP_065282720.1
XP_065284719.1	XP_065284719.1
XP_065290129.1	XP_065290129.1
XP_065312471.1	XP_065312471.1
XP_065314870.1	XP_065314870.1
XP_065322973.1	XP_065322973.1
XP_065325335.1	XP_065325335.1
XP_065325336.1	XP_065325336.1
XP_065327300.1	XP_065327300.1
XP_065327303.1	XP_065327303.1
XP_065327922.1	XP_065327922.1
XP_065329560.1	XP_065329560.1
XP_065333144.1	XP_065333144.1
XP_065333145.1	XP_065333145.1
XP_065333147.1	XP_065333147.1
XP_065334472.1	XP_065334472.1
XP_065334755.1	XP_065334755.1
XP_065335897.1	XP_065335897.1
XP_065335906.1	XP_065335906.1
XP_065345461.1	XP_065345461.1
XP_065348402.1	XP_065348402.1
XP_065353684.1	XP_065353684.1
XP_065353686.1	XP_065353686.1
XP_065354637.1	XP_065354637.1
XP_065361362.1	XP_065361362.1
XP_065362740.1	XP_065362740.1
XP_065362976.1	XP_065362976.1
XP_065363476.1	XP_065363476.1
XP_065378552.1	XP_065378552.1
XP_065378555.1	XP_065378555.1
XP_065378574.1	XP_065378574.1
XP_065378577.1	XP_065378577.1
XP_065378578.1	XP_065378578.1
XP_065378580.1	XP_065378580.1
XP_065386840.1	XP_065386840.1
XP_065402154.1	XP_065402154.1
XP_065438976.1	XP_065438976.1
XP_065440270.1	XP_065440270.1
XP_065440271.1	XP_065440271.1
XP_065440272.1	XP_065440272.1
XP_065440273.1	XP_065440273.1
XP_065440274.1	XP_065440274.1
XP_065455142.1	XP_065455142.1
XP_065455497.1	XP_065455497.1
XP_065478629.1	XP_065478629.1
XP_065485673.1	XP_065485673.1
XP_065485674.1	XP_065485674.1
XP_065485675.1	XP_065485675.1
XP_065485676.1	XP_065485676.1
XP_065485805.1	XP_065485805.1
XP_065496911.1	XP_065496911.1
XP_065511710.1	XP_065511710.1
XP_065511712.1	XP_065511712.1
XP_065511713.1	XP_065511713.1
XP_065511871.1	XP_065511871.1
XP_065511872.1	XP_065511872.1
XP_065511874.1	XP_065511874.1
XP_065512340.1	XP_065512340.1
XP_065512341.1	XP_065512341.1
XP_065512342.1	XP_065512342.1
XP_065514186.1	XP_065514186.1
XP_065516512.1	XP_065516512.1
XP_065516513.1	XP_065516513.1
XP_065516515.1	XP_065516515.1
XP_065517525.1	XP_065517525.1
